client_id,client_size,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7
0,25,5,1,3,5,7,3,1,0,0.2,0.04,0.12,0.2,0.28,0.12,0.04,0.0
1,47,0,9,18,0,0,0,20,0,0.0,0.19148936170212766,0.3829787234042553,0.0,0.0,0.0,0.425531914893617,0.0
2,12,0,2,0,4,0,0,0,6,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.5
3,25,0,7,0,17,0,1,0,0,0.0,0.28,0.0,0.68,0.0,0.04,0.0,0.0
4,12,0,1,11,0,0,0,0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
5,15,0,1,9,0,0,5,0,0,0.0,0.06666666666666667,0.6,0.0,0.0,0.3333333333333333,0.0,0.0
6,19,0,13,0,0,0,4,2,0,0.0,0.6842105263157895,0.0,0.0,0.0,0.21052631578947367,0.10526315789473684,0.0
7,22,9,2,4,0,0,0,0,7,0.4090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.3181818181818182
8,39,13,13,0,2,0,10,1,0,0.3333333333333333,0.3333333333333333,0.0,0.05128205128205128,0.0,0.2564102564102564,0.02564102564102564,0.0
9,31,0,13,7,0,0,0,0,11,0.0,0.41935483870967744,0.22580645161290322,0.0,0.0,0.0,0.0,0.3548387096774194
10,95,15,59,8,13,0,0,0,0,0.15789473684210525,0.6210526315789474,0.08421052631578947,0.1368421052631579,0.0,0.0,0.0,0.0
11,31,0,1,6,0,0,0,7,17,0.0,0.03225806451612903,0.1935483870967742,0.0,0.0,0.0,0.22580645161290322,0.5483870967741935
12,13,0,2,0,1,0,5,0,5,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.38461538461538464,0.0,0.38461538461538464
13,22,0,2,0,11,0,4,0,5,0.0,0.09090909090909091,0.0,0.5,0.0,0.18181818181818182,0.0,0.22727272727272727
14,14,3,0,0,3,1,1,1,5,0.21428571428571427,0.0,0.0,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715
