client_id,client_size,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7
0,176,27,13,119,13,0,0,0,4,0.1534090909090909,0.07386363636363637,0.6761363636363636,0.07386363636363637,0.0,0.0,0.0,0.022727272727272728
1,239,0,0,25,7,0,147,60,0,0.0,0.0,0.10460251046025104,0.029288702928870293,0.0,0.6150627615062761,0.2510460251046025,0.0
2,71,0,16,33,14,0,0,0,8,0.0,0.22535211267605634,0.4647887323943662,0.19718309859154928,0.0,0.0,0.0,0.11267605633802817
3,179,0,143,16,3,0,0,16,1,0.0,0.7988826815642458,0.0893854748603352,0.01675977653631285,0.0,0.0,0.0893854748603352,0.00558659217877095
4,72,0,1,4,23,23,0,21,0,0.0,0.013888888888888888,0.05555555555555555,0.3194444444444444,0.3194444444444444,0.0,0.2916666666666667,0.0
5,98,12,27,6,3,0,45,4,1,0.12244897959183673,0.2755102040816326,0.061224489795918366,0.030612244897959183,0.0,0.45918367346938777,0.04081632653061224,0.01020408163265306
6,144,0,0,7,14,0,121,2,0,0.0,0.0,0.04861111111111111,0.09722222222222222,0.0,0.8402777777777778,0.013888888888888888,0.0
7,122,0,8,0,49,0,60,5,0,0.0,0.06557377049180328,0.0,0.4016393442622951,0.0,0.4918032786885246,0.040983606557377046,0.0
8,206,0,0,9,69,0,0,128,0,0.0,0.0,0.043689320388349516,0.33495145631067963,0.0,0.0,0.6213592233009708,0.0
9,184,0,82,37,25,0,0,12,28,0.0,0.44565217391304346,0.20108695652173914,0.1358695652173913,0.0,0.0,0.06521739130434782,0.15217391304347827
10,601,0,0,0,41,104,0,244,212,0.0,0.0,0.0,0.06821963394342762,0.17304492512479203,0.0,0.4059900166389351,0.3527454242928453
11,203,0,2,12,99,55,0,0,35,0.0,0.009852216748768473,0.059113300492610835,0.4876847290640394,0.270935960591133,0.0,0.0,0.1724137931034483
12,73,0,1,0,32,27,0,0,13,0.0,0.0136986301369863,0.0,0.4383561643835616,0.3698630136986301,0.0,0.0,0.1780821917808219
13,174,31,56,0,0,0,0,21,66,0.1781609195402299,0.3218390804597701,0.0,0.0,0.0,0.0,0.1206896551724138,0.3793103448275862
14,86,21,9,0,2,13,0,5,36,0.2441860465116279,0.10465116279069768,0.0,0.023255813953488372,0.1511627906976744,0.0,0.05813953488372093,0.4186046511627907
15,104,0,0,0,46,0,52,2,4,0.0,0.0,0.0,0.4423076923076923,0.0,0.5,0.019230769230769232,0.038461538461538464
16,73,35,5,5,5,0,0,18,5,0.4794520547945205,0.0684931506849315,0.0684931506849315,0.0684931506849315,0.0,0.0,0.2465753424657534,0.0684931506849315
17,80,22,28,16,6,0,0,1,7,0.275,0.35,0.2,0.075,0.0,0.0,0.0125,0.0875
18,91,0,19,0,0,0,0,23,49,0.0,0.2087912087912088,0.0,0.0,0.0,0.0,0.25274725274725274,0.5384615384615384
19,144,0,58,10,75,0,0,0,1,0.0,0.4027777777777778,0.06944444444444445,0.5208333333333334,0.0,0.0,0.0,0.006944444444444444
20,212,0,87,0,50,0,0,46,29,0.0,0.41037735849056606,0.0,0.2358490566037736,0.0,0.0,0.2169811320754717,0.13679245283018868
21,89,2,4,0,0,19,0,63,1,0.02247191011235955,0.0449438202247191,0.0,0.0,0.21348314606741572,0.0,0.7078651685393258,0.011235955056179775
22,136,35,12,0,0,64,15,0,10,0.25735294117647056,0.08823529411764706,0.0,0.0,0.47058823529411764,0.11029411764705882,0.0,0.07352941176470588
23,192,45,121,12,7,0,0,7,0,0.234375,0.6302083333333334,0.0625,0.036458333333333336,0.0,0.0,0.036458333333333336,0.0
24,156,22,1,0,1,1,0,5,126,0.14102564102564102,0.00641025641025641,0.0,0.00641025641025641,0.00641025641025641,0.0,0.03205128205128205,0.8076923076923077
25,100,4,46,18,0,0,0,12,20,0.04,0.46,0.18,0.0,0.0,0.0,0.12,0.2
26,71,0,9,1,59,0,0,1,1,0.0,0.1267605633802817,0.014084507042253521,0.8309859154929577,0.0,0.0,0.014084507042253521,0.014084507042253521
27,134,0,107,2,13,0,0,2,10,0.0,0.7985074626865671,0.014925373134328358,0.09701492537313433,0.0,0.0,0.014925373134328358,0.07462686567164178
28,118,32,0,21,13,0,0,49,3,0.2711864406779661,0.0,0.17796610169491525,0.11016949152542373,0.0,0.0,0.4152542372881356,0.025423728813559324
29,118,32,8,0,1,0,67,8,2,0.2711864406779661,0.06779661016949153,0.0,0.00847457627118644,0.0,0.5677966101694916,0.06779661016949153,0.01694915254237288
30,114,0,77,9,24,0,0,1,3,0.0,0.6754385964912281,0.07894736842105263,0.21052631578947367,0.0,0.0,0.008771929824561403,0.02631578947368421
31,70,0,27,7,4,0,0,32,0,0.0,0.38571428571428573,0.1,0.05714285714285714,0.0,0.0,0.45714285714285713,0.0
32,75,33,20,0,7,0,0,2,13,0.44,0.26666666666666666,0.0,0.09333333333333334,0.0,0.0,0.02666666666666667,0.17333333333333334
33,259,104,48,0,13,0,0,0,94,0.4015444015444015,0.18532818532818532,0.0,0.05019305019305019,0.0,0.0,0.0,0.36293436293436293
34,70,0,34,12,15,0,0,9,0,0.0,0.4857142857142857,0.17142857142857143,0.21428571428571427,0.0,0.0,0.12857142857142856,0.0
35,81,0,0,0,38,0,0,38,5,0.0,0.0,0.0,0.4691358024691358,0.0,0.0,0.4691358024691358,0.06172839506172839
36,109,46,2,0,3,0,0,1,57,0.42201834862385323,0.01834862385321101,0.0,0.027522935779816515,0.0,0.0,0.009174311926605505,0.5229357798165137
37,152,0,1,48,95,0,1,1,6,0.0,0.006578947368421052,0.3157894736842105,0.625,0.0,0.006578947368421052,0.006578947368421052,0.039473684210526314
38,234,35,4,106,0,84,0,4,1,0.14957264957264957,0.017094017094017096,0.452991452991453,0.0,0.358974358974359,0.0,0.017094017094017096,0.004273504273504274
