client_id,client_size,count_akiec,count_bcc,count_bkl,count_df,count_mel,count_nv,count_vasc,prop_akiec,prop_bcc,prop_bkl,prop_df,prop_mel,prop_nv,prop_vasc
0,113,0,44,23,0,8,38,0,0.0,0.3893805309734513,0.20353982300884957,0.0,0.07079646017699115,0.336283185840708,0.0
1,150,0,0,17,0,0,133,0,0.0,0.0,0.11333333333333333,0.0,0.0,0.8866666666666667,0.0
2,51,0,0,9,0,24,18,0,0.0,0.0,0.17647058823529413,0.0,0.47058823529411764,0.35294117647058826,0.0
3,116,10,22,8,0,31,9,36,0.08620689655172414,0.1896551724137931,0.06896551724137931,0.0,0.2672413793103448,0.07758620689655173,0.3103448275862069
4,51,0,0,0,0,0,51,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,68,0,0,0,0,0,68,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,76,0,0,0,0,13,63,0,0.0,0.0,0.0,0.0,0.17105263157894737,0.8289473684210527,0.0
7,81,0,0,0,0,0,81,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,140,0,0,27,0,40,73,0,0.0,0.0,0.19285714285714287,0.0,0.2857142857142857,0.5214285714285715,0.0
9,113,0,0,17,0,75,21,0,0.0,0.0,0.1504424778761062,0.0,0.6637168141592921,0.18584070796460178,0.0
10,368,0,0,0,0,0,368,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,115,0,43,6,0,5,61,0,0.0,0.3739130434782609,0.05217391304347826,0.0,0.043478260869565216,0.5304347826086957,0.0
12,51,0,39,7,0,1,4,0,0.0,0.7647058823529411,0.13725490196078433,0.0,0.0196078431372549,0.0784313725490196,0.0
13,113,0,0,23,0,21,69,0,0.0,0.0,0.20353982300884957,0.0,0.18584070796460178,0.6106194690265486,0.0
14,63,23,14,0,0,6,20,0,0.36507936507936506,0.2222222222222222,0.0,0.0,0.09523809523809523,0.31746031746031744,0.0
15,68,0,0,0,0,0,68,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,51,0,0,7,0,12,32,0,0.0,0.0,0.13725490196078433,0.0,0.23529411764705882,0.6274509803921569,0.0
17,53,0,0,29,0,8,16,0,0.0,0.0,0.5471698113207547,0.0,0.1509433962264151,0.3018867924528302,0.0
18,69,0,29,0,0,15,25,0,0.0,0.42028985507246375,0.0,0.0,0.21739130434782608,0.36231884057971014,0.0
19,109,0,0,26,0,6,77,0,0.0,0.0,0.23853211009174313,0.0,0.05504587155963303,0.7064220183486238,0.0
20,135,0,0,33,0,28,74,0,0.0,0.0,0.24444444444444444,0.0,0.2074074074074074,0.5481481481481482,0.0
21,59,0,0,6,0,8,45,0,0.0,0.0,0.1016949152542373,0.0,0.13559322033898305,0.7627118644067796,0.0
22,105,0,0,13,0,0,92,0,0.0,0.0,0.12380952380952381,0.0,0.0,0.8761904761904762,0.0
23,114,0,0,16,0,0,98,0,0.0,0.0,0.14035087719298245,0.0,0.0,0.8596491228070176,0.0
24,101,0,0,0,0,0,101,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,64,0,7,8,0,0,49,0,0.0,0.109375,0.125,0.0,0.0,0.765625,0.0
26,50,0,0,0,0,8,42,0,0.0,0.0,0.0,0.0,0.16,0.84,0.0
27,93,32,0,2,0,37,22,0,0.34408602150537637,0.0,0.021505376344086023,0.0,0.3978494623655914,0.23655913978494625,0.0
28,73,0,0,0,0,5,68,0,0.0,0.0,0.0,0.0,0.0684931506849315,0.9315068493150684,0.0
29,83,0,0,27,0,17,39,0,0.0,0.0,0.3253012048192771,0.0,0.20481927710843373,0.46987951807228917,0.0
30,80,0,0,4,0,0,76,0,0.0,0.0,0.05,0.0,0.0,0.95,0.0
31,50,0,0,0,0,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,53,0,0,0,0,0,53,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,158,32,58,17,0,8,28,15,0.20253164556962025,0.3670886075949367,0.10759493670886076,0.0,0.05063291139240506,0.17721518987341772,0.0949367088607595
34,51,0,18,16,0,14,3,0,0.0,0.35294117647058826,0.3137254901960784,0.0,0.27450980392156865,0.058823529411764705,0.0
35,53,0,0,8,0,5,40,0,0.0,0.0,0.1509433962264151,0.0,0.09433962264150944,0.7547169811320755,0.0
