client_id,client_size,count_akiec,count_bcc,count_bkl,count_df,count_mel,count_nv,count_vasc,prop_akiec,prop_bcc,prop_bkl,prop_df,prop_mel,prop_nv,prop_vasc
0,113,0,0,0,0,0,113,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,150,0,41,0,0,56,53,0,0.0,0.2733333333333333,0.0,0.0,0.37333333333333335,0.35333333333333333,0.0
2,51,0,0,0,0,33,0,18,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.35294117647058826
3,116,0,0,103,0,0,5,8,0.0,0.0,0.8879310344827587,0.0,0.0,0.04310344827586207,0.06896551724137931
4,51,2,1,0,46,0,0,2,0.0392156862745098,0.0196078431372549,0.0,0.9019607843137255,0.0,0.0,0.0392156862745098
5,68,0,0,0,0,19,49,0,0.0,0.0,0.0,0.0,0.27941176470588236,0.7205882352941176,0.0
6,76,0,0,0,0,0,76,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,81,0,0,0,0,2,79,0,0.0,0.0,0.0,0.0,0.024691358024691357,0.9753086419753086,0.0
8,140,0,0,8,0,0,132,0,0.0,0.0,0.05714285714285714,0.0,0.0,0.9428571428571428,0.0
9,113,0,0,0,0,0,113,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,368,0,0,0,0,0,368,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,115,109,6,0,0,0,0,0,0.9478260869565217,0.05217391304347826,0.0,0.0,0.0,0.0,0.0
12,51,0,0,0,18,30,0,3,0.0,0.0,0.0,0.35294117647058826,0.5882352941176471,0.0,0.058823529411764705
13,113,0,0,0,0,0,113,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,63,0,0,0,0,0,63,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,68,0,0,0,0,0,68,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,51,0,0,0,0,0,51,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,53,0,0,0,0,29,24,0,0.0,0.0,0.0,0.0,0.5471698113207547,0.4528301886792453,0.0
18,69,0,0,0,0,27,42,0,0.0,0.0,0.0,0.0,0.391304347826087,0.6086956521739131,0.0
19,109,0,0,0,0,0,109,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,135,0,0,22,0,112,1,0,0.0,0.0,0.16296296296296298,0.0,0.8296296296296296,0.007407407407407408,0.0
21,59,0,0,0,0,0,59,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,105,0,0,0,0,7,98,0,0.0,0.0,0.0,0.0,0.06666666666666667,0.9333333333333333,0.0
23,114,0,0,0,0,0,114,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,101,0,0,0,0,0,101,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,64,39,0,25,0,0,0,0,0.609375,0.0,0.390625,0.0,0.0,0.0,0.0
26,50,0,0,0,0,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,93,44,36,0,0,0,0,13,0.4731182795698925,0.3870967741935484,0.0,0.0,0.0,0.0,0.13978494623655913
28,73,4,64,0,5,0,0,0,0.0547945205479452,0.8767123287671232,0.0,0.0684931506849315,0.0,0.0,0.0
29,83,0,0,0,0,0,83,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,80,36,42,0,0,1,1,0,0.45,0.525,0.0,0.0,0.0125,0.0125,0.0
31,50,0,0,38,0,9,3,0,0.0,0.0,0.76,0.0,0.18,0.06,0.0
32,53,0,0,0,0,0,53,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,158,0,0,0,0,0,158,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,51,0,0,51,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,53,0,0,0,12,11,30,0,0.0,0.0,0.0,0.22641509433962265,0.20754716981132076,0.5660377358490566,0.0
36,73,0,0,0,0,7,66,0,0.0,0.0,0.0,0.0,0.0958904109589041,0.9041095890410958,0.0
37,95,0,0,0,0,0,95,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,124,0,0,122,0,2,0,0,0.0,0.0,0.9838709677419355,0.0,0.016129032258064516,0.0,0.0
39,50,0,0,0,0,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,108,0,79,0,0,14,15,0,0.0,0.7314814814814815,0.0,0.0,0.12962962962962962,0.1388888888888889,0.0
41,50,0,0,0,0,43,7,0,0.0,0.0,0.0,0.0,0.86,0.14,0.0
42,53,0,0,0,0,18,35,0,0.0,0.0,0.0,0.0,0.33962264150943394,0.660377358490566,0.0
43,61,0,0,0,0,0,61,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,62,0,0,0,0,5,57,0,0.0,0.0,0.0,0.0,0.08064516129032258,0.9193548387096774,0.0
45,50,0,0,28,0,0,22,0,0.0,0.0,0.56,0.0,0.0,0.44,0.0
46,233,0,0,48,0,2,183,0,0.0,0.0,0.20600858369098712,0.0,0.008583690987124463,0.7854077253218884,0.0
47,58,0,0,0,0,0,58,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,117,25,0,37,0,0,55,0,0.21367521367521367,0.0,0.3162393162393162,0.0,0.0,0.4700854700854701,0.0
49,67,0,0,0,0,0,67,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,52,0,0,0,0,0,52,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,58,0,0,1,0,0,0,57,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.9827586206896551
52,52,0,0,0,0,0,52,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,112,0,0,0,0,1,111,0,0.0,0.0,0.0,0.0,0.008928571428571428,0.9910714285714286,0.0
54,75,0,9,32,2,32,0,0,0.0,0.12,0.4266666666666667,0.02666666666666667,0.4266666666666667,0.0,0.0
55,50,0,49,0,0,1,0,0,0.0,0.98,0.0,0.0,0.02,0.0,0.0
56,50,0,0,0,0,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57,58,0,0,0,0,1,57,0,0.0,0.0,0.0,0.0,0.017241379310344827,0.9827586206896551,0.0
58,50,0,0,0,0,17,33,0,0.0,0.0,0.0,0.0,0.34,0.66,0.0
59,53,0,0,0,0,0,53,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,79,0,76,0,0,2,1,0,0.0,0.9620253164556962,0.0,0.0,0.02531645569620253,0.012658227848101266,0.0
61,342,0,0,0,0,0,342,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,123,0,0,0,0,0,123,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,75,0,0,0,0,12,63,0,0.0,0.0,0.0,0.0,0.16,0.84,0.0
64,257,0,0,0,0,156,101,0,0.0,0.0,0.0,0.0,0.6070038910505836,0.39299610894941633,0.0
65,67,0,0,2,0,47,18,0,0.0,0.0,0.029850746268656716,0.0,0.7014925373134329,0.26865671641791045,0.0
66,61,35,6,0,20,0,0,0,0.5737704918032787,0.09836065573770492,0.0,0.32786885245901637,0.0,0.0,0.0
67,134,0,0,0,0,0,134,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,53,0,0,0,0,0,53,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69,50,0,0,47,0,0,3,0,0.0,0.0,0.94,0.0,0.0,0.06,0.0
70,57,0,0,0,0,0,57,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,98,0,0,0,0,0,98,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72,50,0,0,7,0,43,0,0,0.0,0.0,0.14,0.0,0.86,0.0,0.0
73,58,0,0,19,0,0,39,0,0.0,0.0,0.3275862068965517,0.0,0.0,0.6724137931034483,0.0
74,71,0,0,0,0,0,71,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,161,0,0,0,0,5,156,0,0.0,0.0,0.0,0.0,0.031055900621118012,0.968944099378882,0.0
76,59,0,54,0,0,5,0,0,0.0,0.9152542372881356,0.0,0.0,0.0847457627118644,0.0,0.0
77,59,0,0,0,0,45,14,0,0.0,0.0,0.0,0.0,0.7627118644067796,0.23728813559322035,0.0
78,57,0,0,26,0,0,31,0,0.0,0.0,0.45614035087719296,0.0,0.0,0.543859649122807,0.0
79,55,0,0,26,0,0,29,0,0.0,0.0,0.4727272727272727,0.0,0.0,0.5272727272727272,0.0
80,63,0,0,0,0,0,63,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,164,0,0,0,0,0,164,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82,75,0,0,0,0,26,49,0,0.0,0.0,0.0,0.0,0.3466666666666667,0.6533333333333333,0.0
83,115,0,0,0,0,0,115,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,105,0,0,2,0,0,103,0,0.0,0.0,0.01904761904761905,0.0,0.0,0.9809523809523809,0.0
85,257,0,0,227,0,0,3,27,0.0,0.0,0.8832684824902723,0.0,0.0,0.011673151750972763,0.10505836575875487
86,52,0,0,0,0,0,52,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
87,52,0,0,0,0,0,52,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,84,0,0,56,0,0,28,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
89,51,0,0,13,0,0,38,0,0.0,0.0,0.2549019607843137,0.0,0.0,0.7450980392156863,0.0
90,118,0,0,0,0,76,42,0,0.0,0.0,0.0,0.0,0.6440677966101694,0.3559322033898305,0.0
91,50,0,0,0,0,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,51,0,0,0,0,29,22,0,0.0,0.0,0.0,0.0,0.5686274509803921,0.43137254901960786,0.0
93,51,0,0,0,0,0,51,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
